"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled","subrule_of","go_to_rule","req_screen_off","req_charging","req_silent","req_do_not_disturb","req_car_mode","prev_rule_timeout","priority_alert","probability","package_names","label"
"كتت","none","╚━──═⊰🏮⊱═──━╝\n*『مايكي/ ال』*\n╚━──═⊰🏮⊱═──━╝<#>╚━──═⊰🏮⊱═──━╝\n*『زورو/لوفي』*\n╚━──═⊰🏮⊱═──━╝<#>╚━──═⊰🏮⊱═──━╝\n*『ايتاشي/ساسكي』*\n╚━──═⊰🏮⊱═──━╝<#>╚━──═⊰🏮⊱═──━╝\n*『كانيكي/توكا 』*\n╚━──═⊰🏮⊱═──━╝<#>╚━──═⊰🏮⊱═──━╝\n*『ايرين/ايتشيغو』*\n╚━──═⊰🏮⊱═──━╝<#>╚━──═⊰🏮⊱═──━╝\n*『سايتاما/ايس』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『كيلوا/كورابيكا』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『فيجيتا/سانجي』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『اكازا/اوبيتو』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『ناخت/كاكاشي』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『ايتادوري/نامي』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『ميناتو/ساشا』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『زورو/شوتو』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『كايدو/كانيكي』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『ياماتو/بيرولي』*\n╚━──═⊰🏮⊱═──━╝","random","3","3","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
"مقولات الانمي","none","لطلب المقولات اكتب\n*[مقوله]*","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
"مقوله","none","*{لوفي}*\n*ان لم تخاطر فلن تصنع مستقبلا*<#>*{يوهان}*\n*الشيئ الوحيد يتساوي به البشر هو الموت*<#>*{ايس}*\n*لا اريد ان اعيش لألف سنه ان عشت لنهاية هذا اليوم سيكون هذا اكثر من كافي*<#>*{ايزن سوسكي}*\n*الحقائق التي تنساسب مبتغاك فهي مجرد أكاذيب*<#>*{ليفاي}*\n*ان تكون وحيد افضل من ان تكون مثير للشفقه*<#>*{كانيكي}*\n*الـعـلاقـات البشـريـه مثـل* *التفـاعلات الكيميائيـه اذا* *حصلـت على تفاعـل عنـدهـا...*\n*لا يمكنـك العوده الى حالتـك* *الاصلـيه"".*<#>*{زورو}*\n*من خانك مره سيخونك الف مره*<#>*ايتاشي*\n*مهما كنت فلن تعرف حقيقة نفسك الا عندما يأتيك الموت حين يأتيك الموت ستعرف اي شخص انت*<#>*{تيتش}*\n*احلام الناس لا تنتهي*<#>*{اللحية البيضاء}*\n*لا يهمني من سيأخذ مكاني فبقايا الذئاب لا تأخذها الا الكلاب*<#>*{مادارا}*\n*استيقظ من أحلامك لا شي يسير كما هو مخطط له*<#>*{لوفي}*\n*كل اذا جعت*👍<#>*{كايدو}*\n*لا يكتمل الانسان ألا بعد موته*<#>*{مادارا}*\n*استيقظ للواقع*\n*لا يمكن لاحد صنع السلام لان* *عندما يكون هنالك ضوء ستجد* *الظلال ايضا*<#>*{هيسوكا}*\n*عندما تقرر ان تلعب بي النار فلا تملأ الدنيا صراخا عندما تحترق*<#>*{ايرين ييغر}*\n*لا تحزن اذا رجعت خطوة الى الخلف وا تذكر ان السهم يعود إلى الخلف لكي ينطلق بسرعة*<#>*{استا}*\n*حتى لو كنت فقيرا او يتيما هذا* *لا يمنعك عن تحقيق حلمك*<#>*{ليفاي}*\n*تخلى عن حلمك ومت*<#>*{مادارا}*\n*العدالة في هذا العالم هي مجرد مجموعة من المبادئ يحددها اصحاب السلطه لتتناسب مع انفسهم*","random","3","3","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
"دابي كيفك","none","*زق ونت؟🗿*","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
"😥","none","*ليه حزين🗿💔*","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
"السلام عليكم","none","و عـلـيـكـم الـسـلام و رحـمـة الله و بـركـاتـه 💫❤️","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
"😂","none","*ضحكني معك '-'*","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
"دابي مين انت","none","*عمك🗿*","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
"كت","none","┏━──═⊰🏮⊱═──━┓\n*『مايكي』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『سوكونا』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『غوجو』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『باكوغو』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『باجي』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『غوكو』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『ميكو』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『رايلي』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『كانيكي』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『يامي』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『دابي』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『يوهان』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『الجوكر』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『بينيمارو』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『استا』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『دازاي』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『ناروتو』*\n╚━──═⊰🏮⊱═──━╝<#>┏━──═⊰🏮⊱═──━┓\n*『مادارا』*\n╚━──═⊰🏮⊱═──━╝","random","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
"دابي ابي فلوس","none","*لو عندي ما اعطيك🤠*<#>*مطفر🗿*<#>*شايفني صاحب بنك؟🗿*<#>*لو معي كنت سددت ديون القروب كامل🗿*","random","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,"com.gbwhatsapq@UserHandle{0}",
